"7322046 CANADA INCORPORATED","935996","JODOIN, LUC","SUPPORT ANNUEL LOGICIEL SOFTGUARD DU 2014-01-01 AU 2014-12-31","SERVICE DE LA QUALITÉ DE VIE","BIBLIOTHÈQUES","21 627 $ "
"7981 THEATRE","895879","LANGLOIS, PAUL","SPECTACLES PRÉSENTÉS DANS LES MAISONS DE LA CULTURE PAT, MONTRÉAL-NORD ET MAISONNEUVE LES 04-10-2013, 21-11-2013 ET 22-11-2013 À 20H00","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","3 212 $ "
"8014272 CANADA INC","191","DAOUST, LINDA","ENTRETIEN, BC202219.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","8 507 $ "
"8D TECHNOLOGIES INC.","975490","CARETTE, CLAUDE","SOUMISSION BIXI MTL-20140703 - BANQUE D'HEURES DE SUPPORT ""PROJET MÉGANTIC""","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","AUTRES - TRANSPORT","9 800 $ "
"9008-6398 QUEBEC INC. (JEANS-DEPOT)","952515","BERTRAND, RICHARD","PANTALON DENIM ""JEANS"",EXTENSIBLE,TAILLE 27,FEMME,ENTRE JAMBE 32","SERVICE DE L'APPROVISIONNEMENT","VÊTEMENT ET ÉQUIPEMENT DE TRAVAIL","2 287 $ "
"9008-6398 QUEBEC INC. (JEANS-DEPOT)","958570","BERTRAND, RICHARD","PANTALON DENIM ""JEANS"",EXTENSIBLE,TAILLE 36,FEMME,ENTRE JAMBE 32","SERVICE DE L'APPROVISIONNEMENT","VÊTEMENT ET ÉQUIPEMENT DE TRAVAIL","5 318 $ "
"9008-6398 QUEBEC INC. (JEANS-DEPOT)","968163","HOULE, CLAUDE","7PANTALON DENIM ""JEANS"",TAILLE 28,LOGO V. DE M.HOMME,ENTRE JAMBE 32","SERVICE DE L'APPROVISIONNEMENT","VÊTEMENT ET ÉQUIPEMENT DE TRAVAIL","8 289 $ "
"9008-6398 QUEBEC INC. (JEANS-DEPOT)","968163","HOULE, CLAUDE","0PANTALON DENIM ""JEANS"",TAILLE 46,LOGO V. DE M.HOMME,ENTRE JAMBE 32","SERVICE DE L'APPROVISIONNEMENT","VÊTEMENT ET ÉQUIPEMENT DE TRAVAIL","5 227 $ "
"9113-1532 QUÉBEC INC","RMI0000977710001006570001","INTERFACE","9113-1532 QUÉBEC INC\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000748, SUR LA LISTE DE PAIEMENT 1402IC008 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","5 274 $ "
"9113-1532 QUÉBEC INC.","RMI0000978060001006580001","INTERFACE","9113-1532 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000780, SUR LA LISTE DE PAIEMENT 1402IC006 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","7 916 $ "
"9113-1532 QUÉBEC INC.","RMI0000978070001006590001","INTERFACE","9113-1532 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000781, SUR LA LISTE DE PAIEMENT 1402IC007 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","9 552 $ "
"9113-1532 QUÉBEC INC.","RMI0000978080001006600001","INTERFACE","9113-1532 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000782, SUR LA LISTE DE PAIEMENT 1402IC006 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","5 568 $ "
"9113-1532 QUÉBEC INC.","RMI0000978090001006610001","INTERFACE","9113-1532 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000783, SUR LA LISTE DE PAIEMENT 1402IC007 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","10 680 $ "
"9137-6764 QUEBEC INC.","904052","ALLARD, PATRICE","PAGE RAQ.","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","3 299 $ "
"9137-6764 QUEBEC INC.","906291","LAPOINTE, JOSEE","FRAIS DE PUBLICITÉ.","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","GESTION DU PERSONNEL","2 200 $ "
"9164-2637 QUEBEC INC.","912448","SHOIRY, NANCY","ACHAT DE 2 LOTS DE SACS CORPORATIFS POUR LE BUREAU DU DESIGN À L'ENTREPRISE 9164-2637 QUEBEC INC.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","6 376 $ "
"9164-2637 QUEBEC INC.","956092","DUCAS, SYLVAIN","TRAVAIL DE RECHERCHE ET DE CONCEPTION EN VUE D'ASSURER LE COMMISSARIAT ET L'ORGANISATION DE L'EXPOSITION CODE SOUVENIR MONTRÉAL À GRAZ 2015.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","3 588 $ "
"9175-2998 QUEBEC INC","DIC744567","BRANCONNIER, SERGE","ACHAT D`OUTILS POUR GARAGE DICKSON","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 842 $ "
"9178-0296 QUEBEC INC.","968558","DESJARDINS, SUZANNE","COLLOQUE ANNUEL EN SANTÉ ET SÉCURITÉ DE TRAVAIL DE LA VILLE DE MONTRÉAL","SERVICE DES RESSOURCES HUMAINES","GESTION DU PERSONNEL","2 614 $ "
"9209-8417 QUEBEC INC.","944631","DENIS, LUC","CONCEPTION D'UNE BROCHURE CORPORATIVE DE SOLLICITATION POUR LE CENTRE DE SOCCER DE MONTRÉAL","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","3 137 $ "
"9213-1705 QUEBEC INC.","94","SOULIERES, ANNE","PRODUITS POUR LA REVENTE AUX KIOSQUES","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","3 001 $ "
"9213-1705 QUEBEC INC.","21","SOULIERES, ANNE","PRODUITS POUR LA REVENTE AUX KIOSQUES","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 175 $ "
"9213-1705 QUEBEC INC.","727","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 333 $ "
"9213-1705 QUEBEC INC.","810","SOULIERES, ANNE","BIODÔME, JARDIN BOTANIQUE, INSECTARIUM","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 617 $ "
"9213-1705 QUEBEC INC.","1023","SOULIERES, ANNE","PRODUITS POUR LA REVENTE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 064 $ "
"9226-0454 QUEBEC INC.","903504","BISSONNETTE, JEAN-MARC","AUTORISER L'ACHAT DES DROITS DU CONCEPT MONTRÉAL, LA MODE ET MOI, AINSI QUE DES SERVICES EN PRÉ-PRODUCTION VIDÉO 4 CAPSULES POUR MODEMONTREAL.TV.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","12 452 $ "
"9226-0454 QUEBEC INC.","903504","BISSONNETTE, JEAN-MARC","AUTORISER L'ACHAT DES DROITS DU CONCEPT MONTRÉAL, LA MODE ET MOI, AINSI QUE DES SERVICES EN PRÉ-PRODUCTION VIDÉO > 4 CAPSULES POUR MODEMONTREAL.TV","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","8 500 $ "
"9226-0454 QUEBEC INC.","942405","BISSONNETTE, JEAN-MARC","PLACEMENT MÉDIA / PROMOTION ET DIFFUSION SUR LES RÉSEAUX SOCIAUX.","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","4 000 $ "
"9229-5138 QUEBEC INC.","959181","DESJARDINS, SUZANNE","BON DE COMMANDE ANNUEL 2014 POUR LES DEMANDES DE SERVICE AU 3711 ST-ANTOINE O (BUREAUX DU SERVICE)","SERVICE DES RESSOURCES HUMAINES","GESTION DU PERSONNEL","6 223 $ "
"9248-2389 QUÉBEC INC.","RMI0000986810001012400004","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","9248-2389 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001579, SUR LA LISTE DE PAIEMENT 1404IC002 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","2 501 $ "
"9262-5490 QUÉBEC INC._1","RMI0000967750000992780004","DÉTAILS PROVIENNENT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","9262-5490 QUÉBEC INC.\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-005422, SUR LA LISTE DE PAIEMENT 1407IC014 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","3 344 $ "
"9269-2318 QUEBEC INC.","975543","AYLWIN, CHANTAL","TRAITEUR - PRÉSENTATION DU BILAN DE MI-ANNÉE ET DES OBJECTIFS 2014 DE LA DIRECTION DES INFRASTRUCTURES","SERVICE DES INFRASTRUCTURES, DE LA VOIRIE ET DES TRANSPORTS","DÉPENSES INTERNES À IMPUTER AUX ACTIVITÉS D'INVESTISSEMENT - À REDISTRIBUER","2 489 $ "
"9277-3068 QUEBEC INC","298","VALIQUETTE, LUCILLE","PRODUITS POUR LA REVENTE AUX KIOSQUES","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 045 $ "
"9286-4412 QUÉBEC INC. (SUBWAY)","RMI0000986710001012320001","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","9286-4412 QUÉBEC INC. (SUBWAY)\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001571, SUR LA LISTE DE PAIEMENT 1404IC002 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","2 976 $ "
"9290-2790 QUEBEC INC.","911711","BRUNELLE, CHARLES-MATHIEU","MANDAT DE DIRECTION ARTISTIQUE POUR ÉLABORER UN PRÉ-CONCEPT POUR L'EXPOSITION DU BIODÔME PROVISOIREMENT INTITULÉ <ÉLOGE À LA LENTEUR> MAMROT-","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","21 743 $ "
"9E VAGUE INC.","959233","LANGLOIS, PAUL","CONCERT CAMPBELL / SPECTACLE DE DANIEL BÉLANGER AU PARC ARTHUR-THERRIEN LE 14-08-2014 À 19H30","SERVICE DE LA CULTURE","AUTRES - ACTIVITÉS CULTURELLES","15 557 $ "
"A & A VITRES ET MIROIRS INC.","5402","DAOUST, LINDA","ENTRETIEN BC202940.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 630 $ "
"A & A VITRES ET MIROIRS INC.","5514","BORDUAS, MARCEL","ENTRETIEN BC 203264.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 350 $ "
"A & A VITRES ET MIROIRS INC.","905875","LACOMBE, PIERRE","INCIDENCES POUR LE PROJET D'ŒUVRE D'ART DU PLANÉTARIUM.","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 565 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","957302","GALLANT, DENIS","CHAISES POUR L'AMÉNAGEMENT DU BUREAU DE L'INSPECTEUR GÉNÉRAL","BUREAU DE L'INSPECTEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","28 665 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","894072","BALLO, DOMINIQUE","ACHAT ET LIVRAISON DE CHAISES POUR LE 303 NOTRE-DAME AU 2E ET 3E ÉTAGE 
ENTENTE CADRE 330991","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","21 995 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","901833","BRISSON, GUYLAINE","CHAISES","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 105 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","902256","TURGEON, FRANÇOISE","ACQUISITION DE CHAISES ET FAUTEUILS POUR LE 425 PLACE JACQUES CARTIERS.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","EXPLOITATION DES SITES DE DISPOSITION DE NEIGE","16 606 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","904930","MARCOTTE, ANNE-MARIE","CHAISE ERGONOMIQUE MULTIFONCTION POUR EMPLOYÉ. 
AD-H-F-01-SS FN-NAVY","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","5 363 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","908068","BALLO, DOMINIQUE","ACHAT & LIVRAISON DE CHAISE POUR LE 2E ÉTAGE DU 303 NOTRE DAME","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","AUTRES - ADMINISTRATION GÉNÉRALE","2 394 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","982885","NADEAU, MICHEL G","INCIDENCE CONTRAT LOCATION - ACQUISITION ET INSTALLATION DE FAUTEUILS ATTRIBUÉS AUX EMPLOYÉS DU CENTRE DE DISTRIBUTION DE LA DIRECTION DE L'APPROVISIONNEMENT SITUÉ AU 9701 RUE COLBERT.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 066 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","908623","CHOQUET, JEAN-ROBERT","CHAISES DE CUISINE CA-4-52 SCA PE-FLINT (8), DE RÉUNION CA-4-52-CA PE-FLINT (15) ET DE VISITEURS CA-5-52 PE-FLINT (8). SOUMISSION 3092.","SERVICE DE LA QUALITÉ DE VIE","ACT. CULTURELLES - DIR. ET ADM. - À RÉPARTIR","4 137 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","169809","DAOUST, GAETANE","BC204113-CHAISES","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 229 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","980361","LEMIRE, LUCIE","20 CHAISES « CHARCOAL » POUR SALLE DE CONFÉRENCE","SERVICE DE L'EAU","HYG. DU MILIEU - SOUTIEN TECH. ET FONCT. - À RÉPARTIR","6 406 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","890083","EVEREKLIAN, AGOP","ACHAT DE 10 CHAISES OVATION AVEC HAUT DOSSIER CHEZ A.D.I. ART DESIGN INTERNATIONAL INC. POUR LE BUREAU DES AFFAIRES INTERNATIONALES SELON SOUMISSION 3048 (30 AOÛT 2013).","SERVICE DES AFFAIRES INSTITUTIONNELLES","CONSEIL ET SOUTIEN AUX INSTANCES POLITIQUES","3 235 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","933446","RICHARD, LOUISE","FAUTEUILS DE BUREAU ET VISITEUR","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","10 750 $ "
"A.D.I. ART DESIGN INTERNATIONAL INC.","957162","RICHARD, LOUISE","FAUTEUILS MULTIFONCTIONS - ERGONOMIE - DIVISION DE LA PAIE","SERVICE DES FINANCES","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 319 $ "
"A.T. STORRS LTD.","SIP10481","VALIQUETTE, LUCILLE","PRODUITS POUR LE REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 030 $ "
"A.T. STORRS LTD.","SIP10499","VALIQUETTE, LUCILLE","PRODUITS POUR LE REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","9 464 $ "
"A.T. STORRS LTD.","SIP12190","VALIQUETTE, LUCILLE","PRODUITS POUR LA REVENTE AUX KIOSQUES","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 049 $ "
"A.T. STORRS LTD.","SIP13496","VALIQUETTE, LUCILLE","BIODÔME, JARDIN BOTANIQUE, INSECTARIUM","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","3 310 $ "
